	1	2	3	4	5	6	7	8	9	10	11	12	13	14	
1	0.151	0.145	0.01	1.231	0.212	0.137	0.811	1.278	0.408	0.187	0.759	1.11			
1	0.139	0.033	0.003	0.147	0.19	0.061	0.464	0.939	0.203	0.094	0.327	1.04			
1	0.615	0.048	0.128												
1	0.411	0.224	0.944	0.363	0.073	0.341	0.07	0.149																						
2	0.292	0.451	0.485	0.783	0.078	0.172	0.352	0.992	0.094	0.363	1.041	0.604			
2	0.082	0.099	0.355	0.893	0.266	0.561	1.512								
2	0.264	0.144	0.063	0.23	0.326	0.35	0.208	0.216	0.115	0.048					
2	0.575	0.331	0.073	6.38E-04	0.103	0.532	0.07	0.367	0.091	0.043	0.207																			
3	0.295	1.196	0.412	1.045											
3	0.682	1.107	0.44	0.826											
3	0.819	1.198	0.543	0.154	0.371										
3	0.376	0.192	0.222	0.594	0.276	0.372	0.262	0.406																						
1	0.194	0.483	0.547	0.196	0.479	0.415	0.127	0.663	0.56						
1	0.261	1.76E-01	3.01E-01	0.221	0.502	0.16	0.277	0.233	0.347																				
2	0.057	0.007	0.026	0.023	0.032	0.005	0.156	0.049	0.083	0.228	0.09	0.033	0.19	0.189	
2	0.019	3.88E-04	0.003	0.003	0.015	0	0.003	0.052	0.008	0.022	0.01																		
3	0.216	0.024	0.63	0.702	0.043	0.715	0.292	0.04	0.671						
3	0.355	0.534	0.5	0.387	0.08	0.248	0.626								
